Date,Price
1453240800000,29.79
1453244400000,26.05
1453248000000,26.17
1453251600000,26.42
1453255200000,25.36
1453258800000,25.76
1453262400000,26.54
1453266000000,32.7
1453269600000,55.08
1453273200000,61.08
1453276800000,58.43
1453280400000,58.97
1453284000000,56.14
1453287600000,58.6
1453291200000,57.58
1453294800000,54.95
1453298400000,52.42
1453302000000,72.01
1453305600000,92.75
1453309200000,79.09
1453312800000,70.03
1453316400000,50.1
1453320000000,40.06
1453323600000,33.52
1453327200000,29.63
1453330800000,29.65
1453334400000,27.82
1453338000000,26.65
1453341600000,26.96
1453345200000,27.47
1453348800000,29.09
1453352400000,40.78
1453356000000,70.01
1453359600000,85.05
1453363200000,83.54
1453366800000,74.94
1453370400000,70.12
1453374000000,59.91
1453377600000,57.69
1453381200000,57.99
1453384800000,61.05
1453388400000,57.43
1453392000000,77.13
1453395600000,86.01
1453399200000,60.13
1453402800000,50.09
1453406400000,35.47
1453410000000,30.36
1453413600000,26.97
1453417200000,28.05
1453420800000,27.92
1453424400000,26.78
1453428000000,26.57
1453431600000,27.02
1453435200000,28.07
1453438800000,30.82
1453442400000,48.46
1453446000000,52.5
1453449600000,48.66
1453453200000,45.11
1453456800000,44.96
1453460400000,42.06
1453464000000,37.02
1453467600000,32.27
1453471200000,32.65
1453474800000,32.84
1453478400000,34.83
1453482000000,28.3
1453485600000,26.88
1453489200000,25.46
1453492800000,24.88
1453496400000,24.28
1453500000000,22.63
1453503600000,24.44
1453507200000,24.02
1453510800000,23.03
1453514400000,22.99
1453518000000,22.68
1453521600000,22.44
1453525200000,21.46
1453528800000,23.35
1453532400000,24.68
1453536000000,28.9
1453539600000,31.32
1453543200000,34.75
1453546800000,34.39
1453550400000,30.45
1453554000000,28.04
1453557600000,29.1
1453561200000,29.7
1453564800000,36.97
1453568400000,42.6
1453572000000,35.83
1453575600000,28.84
1453579200000,25.4
1453582800000,26.27
1453586400000,27.06
1453590000000,24.08
1453593600000,23.99
1453597200000,24.83
1453600800000,23.24
1453604400000,22.54
1453608000000,23.41
1453611600000,21.41
1453615200000,21.4
1453618800000,22.12
1453622400000,24.63
1453626000000,27.05
1453629600000,32.66
1453633200000,28.94
1453636800000,26.04
1453640400000,24.84
1453644000000,23.99
1453647600000,25.04
1453651200000,32.88
1453654800000,36.09
1453658400000,35.87
1453662000000,31.7
1453665600000,26.0
1453669200000,27.09
1453672800000,22.44
1453676400000,20.07
1453680000000,19.65
1453683600000,19.68
1453687200000,19.98
1453690800000,20.33
1453694400000,21.32
1453698000000,25.01
1453701600000,34.94
1453705200000,35.0
1453708800000,36.04
1453712400000,36.62
1453716000000,35.6
1453719600000,34.75
1453723200000,32.26
1453726800000,30.61
1453730400000,29.73
1453734000000,31.17
1453737600000,34.96
1453741200000,36.33
1453744800000,31.96
1453748400000,26.8
1453752000000,25.32
1453755600000,23.93
1453759200000,18.11
1453762800000,20.23
1453766400000,18.02
1453770000000,15.9
1453773600000,15.91
1453777200000,17.1
1453780800000,21.8
1453784400000,27.09
1453788000000,34.13
1453791600000,38.11
1453795200000,32.31
1453798800000,29.99
1453802400000,29.55
1453806000000,28.52
1453809600000,29.33
1453813200000,27.97
1453816800000,30.09
1453820400000,30.62
1453824000000,32.87
1453827600000,29.27
1453831200000,24.94
1453834800000,23.17
1453838400000,21.66
1453842000000,20.24
1453845600000,13.43
1453849200000,10.97
1453852800000,3.18
1453856400000,0.05
1453860000000,0.13
1453863600000,8.82
1453867200000,13.3
1453870800000,17.33
1453874400000,22.97
1453878000000,23.93
1453881600000,28.95
1453885200000,29.94
1453888800000,25.55
1453892400000,24.12
1453896000000,22.95
1453899600000,20.95
1453903200000,23.91
1453906800000,23.97
1453910400000,28.93
1453914000000,30.98
1453917600000,29.07
1453921200000,21.5
1453924800000,19.06
1453928400000,16.34
1453932000000,13.96
1453935600000,14.5
1453939200000,12.83
1453942800000,12.88
1453946400000,12.14
1453950000000,13.2
1453953600000,17.39
1453957200000,23.41
1453960800000,28.49
1453964400000,30.96
1453968000000,29.97
1453971600000,29.07
1453975200000,25.21
1453978800000,24.01
1453982400000,25.56
1453986000000,26.73
1453989600000,31.02
1453993200000,33.58
1453996800000,39.05
1454000400000,46.02
1454004000000,36.56
1454007600000,32.12
1454011200000,27.45
1454014800000,26.31
1454018400000,20.79
1454022000000,21.1
1454025600000,19.53
1454029200000,19.06
1454032800000,18.08
1454036400000,15.96
1454040000000,18.01
1454043600000,26.0
1454047200000,34.89
1454050800000,36.06
1454054400000,34.94
1454058000000,29.91
1454061600000,25.43
1454065200000,21.83
1454068800000,20.03
1454072400000,19.1
1454076000000,19.39
1454079600000,22.54
1454083200000,27.43
1454086800000,25.99
1454090400000,25.18
1454094000000,21.11
1454097600000,17.08
1454101200000,14.6
1454104800000,10.29
1454108400000,14.08
1454112000000,8.4
1454115600000,0.79
1454119200000,0.0
1454122800000,-0.02
1454126400000,-0.04
1454130000000,-2.9699999999999998
1454133600000,8.51
1454137200000,12.42
1454140800000,13.78
1454144400000,14.22
1454148000000,14.69
1454151600000,14.27
1454155200000,14.6
1454158800000,14.28
1454162400000,15.37
1454166000000,16.03
1454169600000,18.67
1454173200000,27.78
1454176800000,22.16
1454180400000,18.53
1454184000000,16.21
1454187600000,15.49
1454191200000,12.0
1454194800000,8.43
1454198400000,3.04
1454202000000,5.09
1454205600000,0.85
1454209200000,-0.27
1454212800000,0.03
1454216400000,0.08
1454220000000,6.04
1454223600000,8.33
1454227200000,10.59
1454230800000,11.91
1454234400000,14.68
1454238000000,16.18
1454241600000,12.5
1454245200000,13.96
1454248800000,13.89
1454252400000,16.08
1454256000000,21.44
1454259600000,26.28
1454263200000,25.48
1454266800000,21.34
1454270400000,18.04
1454274000000,18.79
1454277600000,16.45
1454281200000,16.31
1454284800000,14.42
1454288400000,15.07
1454292000000,13.27
1454295600000,13.87
1454299200000,14.26
1454302800000,23.93
1454306400000,35.9
1454310000000,37.99
1454313600000,36.05
1454317200000,33.34
1454320800000,29.24
1454324400000,24.99
1454328000000,21.96
1454331600000,18.34
1454335200000,17.97
1454338800000,18.24
1454342400000,23.37
1454346000000,23.95
1454349600000,22.65
1454353200000,17.75
1454356800000,14.63
1454360400000,14.16
1454364000000,8.44
1454367600000,4.06
1454371200000,0.30000000000000004
1454374800000,-2.66
1454378400000,-1.92
1454382000000,0.09
1454385600000,9.52
1454389200000,15.68
1454392800000,22.92
1454396400000,22.99
1454400000000,22.15
1454403600000,22.16
1454407200000,22.53
1454410800000,22.08
1454414400000,22.09
1454418000000,22.19
1454421600000,23.35
1454425200000,23.31
1454428800000,28.42
1454432400000,29.99
1454436000000,24.61
1454439600000,22.51
1454443200000,17.59
1454446800000,14.18
1454450400000,9.53
1454454000000,13.75
1454457600000,11.58
1454461200000,8.09
1454464800000,6.93
1454468400000,9.04
1454472000000,13.74
1454475600000,21.41
1454479200000,33.25
1454482800000,35.0
1454486400000,33.96
1454490000000,25.44
1454493600000,22.93
1454497200000,21.46
1454500800000,20.95
1454504400000,22.93
1454508000000,23.02
1454511600000,26.4
1454515200000,32.62
1454518800000,36.69
1454522400000,36.19
1454526000000,30.13
1454529600000,23.75
1454533200000,22.41
1454536800000,17.13
1454540400000,18.04
1454544000000,16.38
1454547600000,15.99
1454551200000,15.29
1454554800000,13.93
1454558400000,17.01
1454562000000,22.43
1454565600000,31.96
1454569200000,30.91
1454572800000,27.93
1454576400000,29.19
1454580000000,30.22
1454583600000,27.97
1454587200000,26.87
1454590800000,25.85
1454594400000,27.94
1454598000000,27.81
1454601600000,35.0
1454605200000,42.18
1454608800000,39.01
1454612400000,32.04
1454616000000,26.96
1454619600000,27.83
1454623200000,23.98
1454626800000,24.61
1454630400000,23.0
1454634000000,22.22
1454637600000,20.1
1454641200000,21.18
1454644800000,21.18
1454648400000,25.97
1454652000000,33.92
1454655600000,37.48
1454659200000,35.25
1454662800000,36.5
1454666400000,35.94
1454670000000,34.36
1454673600000,31.95
1454677200000,27.74
1454680800000,25.33
1454684400000,24.78
1454688000000,29.96
1454691600000,33.09
1454695200000,28.01
1454698800000,25.7
1454702400000,23.12
1454706000000,24.55
1454709600000,22.71
1454713200000,18.18
1454716800000,15.55
1454720400000,16.01
1454724000000,14.33
1454727600000,13.78
1454731200000,13.98
1454734800000,15.05
1454738400000,16.08
1454742000000,18.02
1454745600000,19.34
1454749200000,17.1
1454752800000,16.5
1454756400000,16.09
1454760000000,15.11
1454763600000,13.99
1454767200000,15.29
1454770800000,17.01
1454774400000,19.97
1454778000000,23.15
1454781600000,21.02
1454785200000,16.07
1454788800000,12.71
1454792400000,15.04
1454796000000,11.74
1454799600000,5.01
1454803200000,5.98
1454806800000,5.62
1454810400000,3.05
1454814000000,0.93
1454817600000,0.08
1454821200000,-0.92
1454824800000,1.13
1454828400000,5.74
1454832000000,8.01
1454835600000,12.92
1454839200000,13.79
1454842800000,13.84
1454846400000,12.19
1454850000000,11.76
1454853600000,10.01
1454857200000,13.32
1454860800000,16.64
1454864400000,22.17
1454868000000,17.28
1454871600000,17.88
1454875200000,13.79
1454878800000,15.04
1454882400000,9.29
1454886000000,10.02
1454889600000,7.99
1454893200000,5.24
1454896800000,1.16
1454900400000,1.4
1454904000000,7.32
1454907600000,12.32
1454911200000,16.17
1454914800000,16.55
1454918400000,16.41
1454922000000,16.56
1454925600000,16.61
1454929200000,16.35
1454932800000,16.1
1454936400000,16.15
1454940000000,16.35
1454943600000,15.94
1454947200000,20.88
1454950800000,27.26
1454954400000,21.02
1454958000000,15.24
1454961600000,12.52
1454965200000,12.11
1454968800000,9.72
1454972400000,-19.94
1454976000000,-12.34
1454979600000,-19.95
1454983200000,-19.3
1454986800000,-5.52
1454990400000,2.79
1454994000000,16.98
1454997600000,19.75
1455001200000,23.43
1455004800000,20.99
1455008400000,23.9
1455012000000,24.93
1455015600000,27.03
1455019200000,28.69
1455022800000,27.44
1455026400000,26.97
1455030000000,27.24
1455033600000,31.01
1455037200000,39.98
1455040800000,34.06
1455044400000,28.77
1455048000000,23.97
1455051600000,20.78
1455055200000,15.99
1455058800000,13.08
1455062400000,13.68
1455066000000,13.06
1455069600000,13.41
1455073200000,14.3
1455076800000,16.2
1455080400000,22.8
1455084000000,30.59
1455087600000,32.05
1455091200000,32.42
1455094800000,30.94
1455098400000,29.98
1455102000000,25.97
1455105600000,27.74
1455109200000,27.44
1455112800000,27.77
1455116400000,28.68
1455120000000,32.1
1455123600000,36.59
1455127200000,29.44
1455130800000,23.18
1455134400000,21.66
1455138000000,21.94
1455141600000,18.88
1455145200000,17.72
1455148800000,17.46
1455152400000,16.91
1455156000000,16.97
1455159600000,17.66
1455163200000,18.55
1455166800000,20.84
1455170400000,30.82
1455174000000,25.34
1455177600000,22.84
1455181200000,21.12
1455184800000,24.74
1455188400000,23.72
1455192000000,23.01
1455195600000,21.03
1455199200000,30.0
1455202800000,31.58
1455206400000,36.0
1455210000000,41.02
1455213600000,41.34
1455217200000,32.98
1455220800000,29.96
1455224400000,29.46
1455228000000,26.1
1455231600000,22.81
1455235200000,21.59
1455238800000,21.3
1455242400000,19.86
1455246000000,20.69
1455249600000,21.64
1455253200000,27.18
1455256800000,36.43
1455260400000,37.3
1455264000000,34.97
1455267600000,34.7
1455271200000,33.48
1455274800000,30.0
1455278400000,26.93
1455282000000,25.62
1455285600000,25.0
1455289200000,27.18
1455292800000,34.56
1455296400000,40.36
1455300000000,35.56
1455303600000,29.96
1455307200000,26.45
1455310800000,27.18
1455314400000,25.45
1455318000000,22.23
1455321600000,21.1
1455325200000,20.21
1455328800000,19.94
1455332400000,19.9
1455336000000,19.98
1455339600000,19.9
1455343200000,21.48
1455346800000,28.38
1455350400000,30.36
1455354000000,30.09
1455357600000,29.84
1455361200000,26.75
1455364800000,23.93
1455368400000,21.37
1455372000000,21.15
1455375600000,20.96
1455379200000,24.69
1455382800000,29.65
1455386400000,24.61
1455390000000,19.91
1455393600000,18.7
1455397200000,18.47
1455400800000,16.88
1455404400000,13.06
1455408000000,10.28
1455411600000,8.48
1455415200000,5.09
1455418800000,4.21
1455422400000,4.75
1455426000000,5.3
1455429600000,8.76
1455433200000,11.81
1455436800000,15.03
1455440400000,17.46
1455444000000,18.01
1455447600000,17.69
1455451200000,17.34
