MESS_DATUM,wind,sun,cloudiness,air_temperature
2015-01-07 16:00:00,1.9358128683239562,2.376220952723089,6.862656404137644,1.1775636107727872
2015-01-07 17:00:00,1.481167059001075,0.0,7.619557122744718,1.1489616502416171
2015-01-07 18:00:00,2.19292136527768,0.0,7.799130298957801,0.802890939161153
2015-01-07 19:00:00,2.2214681436823445,0.0,7.473936898612673,0.4835561457003386
2015-01-07 20:00:00,2.097860611977889,0.0,7.409666394142499,0.4964079551729049
2015-01-07 21:00:00,2.8390271284354203,0.0,7.842969872625452,0.4788138277777279
2015-01-07 22:00:00,3.131872684250981,0.0,7.88450512991349,0.413292856797752
2015-01-07 23:00:00,3.796377295293699,0.0,7.275081889507303,0.6311605017048088
2015-01-08 00:00:00,4.018917022993791,0.0,7.415952283778949,1.003340427769478
2015-01-08 01:00:00,3.415727247027064,0.0,6.8066405178160085,1.3453697547475263
2015-01-08 02:00:00,3.1016318229135083,0.0,7.435037490957793,1.4938590356843866
2015-01-08 03:00:00,3.418614051190075,0.0,7.120035046644912,1.833536501320672
2015-01-08 04:00:00,3.1310740291055046,0.0,7.7497919704098,2.0264533106636398
2015-01-08 05:00:00,3.4426137831591017,0.0,7.933572492658231,2.1191194216440103
2015-01-08 06:00:00,3.829111310093768,0.0,7.4957704354807495,2.290344634923792
2015-01-08 07:00:00,3.5008336513206126,0.0,7.933530315511629,2.331667042204642
2015-01-08 08:00:00,3.6062624503229728,4.163336342344337e-17,7.3945238960279465,2.7502634594010917
2015-01-08 09:00:00,3.848944395376572,3.6222716315306845e-71,7.999999865369968,3.0498497130649285
2015-01-08 10:00:00,3.5248944500109145,3.2311742677852644e-27,7.999842628595611,3.5368820018537344
2015-01-08 11:00:00,3.346723118670592,0.00039672874845619877,7.989257797357363,3.710106419314081
2015-01-08 12:00:00,3.3950133559309603,0.0626220703125,7.499874934479742,4.2423527750467525
2015-01-08 13:00:00,3.7469755584893703,0.0002441406250000701,7.499748155422817,4.464927414438452
